"average_months_on_waiting_list","average_months_since_moved_in","county","percent_62_or_more_head_or_spouse","percent_85_or_more_head_or_spouse","percent_minority","percent_occupied","state","total_wait"
NA,56,"=""Chautauqua County""",69,NA,13,62,"=""KS""",55
15,60,"=""Cherokee County""",30,2,10,76,"=""KS""",75
2,48,"=""Cheyenne County""",62,13,18,86,"=""KS""",50
NA,81,"=""Clark County""",82,27,0,51,"=""KS""",80
2,64,"=""Clay County""",64,10,4,81,"=""KS""",66
NA,71,"=""Cloud County""",9,2,4,82,"=""KS""",70
8,62,"=""Coffey County""",42,5,3,55,"=""KS""",70
NA,79,"=""Comanche County""",93,7,0,77,"=""KS""",78
18,66,"=""Cowley County""",41,3,19,78,"=""KS""",84
9,61,"=""Crawford County""",36,3,16,75,"=""KS""",70
1,60,"=""Decatur County""",46,8,5,84,"=""KS""",61
2,57,"=""Dickinson County""",70,11,5,89,"=""KS""",59
6,75,"=""Doniphan County""",29,NA,21,71,"=""KS""",81
NA,206,"=""Douglas County""",45,3,29,91,"=""KS""",205
3,56,"=""Edwards County""",35,9,0,74,"=""KS""",59
2,82,"=""Elk County""",66,10,5,92,"=""KS""",84
9,67,"=""Ellis County""",59,4,7,85,"=""KS""",76
NA,77,"=""Ellsworth County""",83,31,3,80,"=""KS""",76
5,66,"=""Finney County""",32,2,43,86,"=""KS""",71
22,79,"=""Ford County""",43,3,40,71,"=""KS""",101
7,73,"=""Franklin County""",52,7,10,76,"=""KS""",80
12,57,"=""Geary County""",36,2,57,79,"=""KS""",69
NA,NA,"=""Gove County""",NA,NA,NA,NA,"=""KS""",-8
3,62,"=""Graham County""",82,18,3,87,"=""KS""",65
5,59,"=""Grant County""",43,2,63,96,"=""KS""",64
4,62,"=""Greenwood County""",52,3,0,70,"=""KS""",66
NA,NA,"=""Hamilton County""",NA,NA,NA,NA,"=""KS""",-8
2,61,"=""Harper County""",75,11,4,92,"=""KS""",63
15,61,"=""Harvey County""",48,6,14,91,"=""KS""",76
NA,NA,"=""Haskell County""",NA,NA,NA,NA,"=""KS""",-8
7,27,"=""Hodgeman County""",27,NA,13,95,"=""KS""",34
7,91,"=""Jackson County""",51,4,7,93,"=""KS""",98
9,59,"=""Jefferson County""",57,3,11,87,"=""KS""",68
4,76,"=""Jewell County""",84,32,3,70,"=""KS""",80
15,101,"=""Johnson County""",48,5,37,90,"=""KS""",116
NA,40,"=""Kearny County""",18,NA,41,73,"=""KS""",39
NA,NA,"=""Kingman County""",NA,NA,NA,NA,"=""KS""",-8
2,39,"=""Kiowa County""",33,NA,7,72,"=""KS""",41
16,55,"=""Labette County""",30,1,29,84,"=""KS""",71
NA,NA,"=""Lane County""",NA,NA,NA,NA,"=""KS""",-8
24,64,"=""Leavenworth County""",42,3,37,83,"=""KS""",88
4,69,"=""Lincoln County""",78,9,4,81,"=""KS""",73
NA,96,"=""Linn County""",54,NA,3,87,"=""KS""",95
2,78,"=""Logan County""",56,9,2,94,"=""KS""",80
9,68,"=""Lyon County""",53,6,15,73,"=""KS""",77
8,78,"=""McPherson County""",73,10,4,83,"=""KS""",86
4,51,"=""Marion County""",55,3,9,93,"=""KS""",55
8,62,"=""Marshall County""",71,10,3,90,"=""KS""",70
NA,NA,"=""Meade County""",NA,NA,NA,NA,"=""KS""",-8
11,80,"=""Miami County""",39,2,11,74,"=""KS""",91
3,63,"=""Mitchell County""",39,3,6,95,"=""KS""",66
25,56,"=""Montgomery County""",54,4,26,80,"=""KS""",81
NA,64,"=""Morris County""",62,9,3,93,"=""KS""",63
NA,NA,"=""Morton County""",NA,NA,NA,NA,"=""KS""",-8
4,71,"=""Nemaha County""",51,12,2,93,"=""KS""",75
2,62,"=""Neosho County""",35,2,12,78,"=""KS""",64
NA,64,"=""Ness County""",70,NA,4,94,"=""KS""",63
160,38,"=""Norton County""",46,10,8,65,"=""KS""",198
7,65,"=""Osage County""",46,4,6,77,"=""KS""",72
6,73,"=""Osborne County""",54,12,7,89,"=""KS""",79
6,54,"=""Ottawa County""",52,12,3,96,"=""KS""",60
4,69,"=""Pawnee County""",69,5,8,69,"=""KS""",73
2,54,"=""Phillips County""",58,8,4,87,"=""KS""",56
12,95,"=""Pottawatomie County""",66,10,6,86,"=""KS""",107
7,64,"=""Pratt County""",62,9,6,86,"=""KS""",71
3,58,"=""Rawlins County""",30,4,0,96,"=""KS""",61
10,70,"=""Reno County""",44,4,13,79,"=""KS""",80
NA,59,"=""Republic County""",70,12,0,95,"=""KS""",58
5,58,"=""Rice County""",39,3,11,92,"=""KS""",63
15,67,"=""Riley County""",37,2,41,74,"=""KS""",82
1,45,"=""Rooks County""",58,NA,9,82,"=""KS""",46
2,51,"=""Rush County""",54,NA,0,92,"=""KS""",53
2,61,"=""Russell County""",57,11,8,78,"=""KS""",63
5,61,"=""Saline County""",46,3,15,78,"=""KS""",66
NA,NA,"=""Scott County""",NA,NA,NA,NA,"=""KS""",-8
31,70,"=""Sedgwick County""",39,2,55,88,"=""KS""",101
12,82,"=""Seward County""",39,1,45,81,"=""KS""",94
12,77,"=""Shawnee County""",41,2,41,74,"=""KS""",89
3,41,"=""Sheridan County""",52,13,16,98,"=""KS""",44
3,62,"=""Sherman County""",35,3,26,89,"=""KS""",65
NA,63,"=""Smith County""",51,4,0,75,"=""KS""",62
2,65,"=""Stafford County""",52,3,3,93,"=""KS""",67
NA,NA,"=""Stanton County""",NA,NA,NA,NA,"=""KS""",-8
NA,NA,"=""Stevens County""",NA,NA,NA,NA,"=""KS""",-8
3,68,"=""Sumner County""",41,3,7,86,"=""KS""",71
8,55,"=""Thomas County""",33,5,11,97,"=""KS""",63
NA,49,"=""Trego County""",76,12,0,74,"=""KS""",48
NA,NA,"=""Wabaunsee County""",NA,NA,NA,NA,"=""KS""",-8
NA,NA,"=""Wallace County""",NA,NA,NA,NA,"=""KS""",-8
3,65,"=""Washington County""",44,6,4,81,"=""KS""",68
2,55,"=""Wilson County""",28,2,11,77,"=""KS""",57
NA,NA,"=""Woodson County""",NA,NA,NA,NA,"=""KS""",-8
11,77,"=""Wyandotte County""",36,2,76,81,"=""KS""",88
6,61,"=""Adair County""",29,1,9,87,"=""KY""",67
5,66,"=""Allen County""",34,1,6,88,"=""KY""",71
20,109,"=""Anderson County""",37,1,12,67,"=""KY""",129
NA,61,"=""Ballard County""",22,NA,11,92,"=""KY""",60
9,67,"=""Barren County""",42,3,16,94,"=""KY""",76
6,64,"=""Bath County""",38,NA,3,87,"=""KY""",70
3,77,"=""Bell County""",26,1,6,93,"=""KY""",80
4,72,"=""Boone County""",45,3,17,86,"=""KY""",76
9,86,"=""Bourbon County""",36,1,17,82,"=""KY""",95
10,65,"=""Boyd County""",27,1,7,92,"=""KY""",75
5,66,"=""Boyle County""",37,1,25,95,"=""KY""",71
NA,66,"=""Bracken County""",29,1,2,83,"=""KY""",65
5,71,"=""Breathitt County""",28,NA,1,78,"=""KY""",76
22,83,"=""Breckinridge County""",42,NA,8,82,"=""KY""",105
17,86,"=""Bullitt County""",36,2,8,71,"=""KY""",103
6,71,"=""Butler County""",28,0,3,91,"=""KY""",77
25,76,"=""Caldwell County""",33,1,26,93,"=""KY""",101
5,68,"=""Calloway County""",44,3,22,90,"=""KY""",73
16,72,"=""Campbell County""",42,3,22,83,"=""KY""",88
31,67,"=""Carlisle County""",13,NA,10,88,"=""KY""",98
37,76,"=""Carroll County""",41,1,4,95,"=""KY""",113
10,79,"=""Carter County""",45,5,2,89,"=""KY""",89
7,74,"=""Casey County""",38,2,2,91,"=""KY""",81
20,53,"=""Christian County""",34,2,63,91,"=""KY""",73
13,72,"=""Clark County""",35,2,13,81,"=""KY""",85
11,74,"=""Clay County""",44,2,3,90,"=""KY""",85
5,89,"=""Clinton County""",50,6,1,90,"=""KY""",94
NA,74,"=""Crittenden County""",42,NA,0,89,"=""KY""",73
3,93,"=""Cumberland County""",44,3,9,94,"=""KY""",96
8,57,"=""Daviess County""",37,2,19,67,"=""KY""",65
NA,60,"=""Edmonson County""",38,NA,3,86,"=""KY""",59
5,69,"=""Elliott County""",24,2,2,95,"=""KY""",74
14,87,"=""Estill County""",25,0,1,88,"=""KY""",101
24,96,"=""Fayette County""",36,2,64,92,"=""KY""",120
49,72,"=""Fleming County""",33,2,3,92,"=""KY""",121
8,77,"=""Floyd County""",30,1,2,79,"=""KY""",85
8,70,"=""Franklin County""",33,2,26,92,"=""KY""",78
8,80,"=""Fulton County""",18,0,57,96,"=""KY""",88
28,80,"=""Gallatin County""",36,NA,0,67,"=""KY""",108
18,72,"=""Garrard County""",29,2,16,88,"=""KY""",90
44,75,"=""Grant County""",29,NA,6,83,"=""KY""",119
7,62,"=""Graves County""",37,3,26,75,"=""KY""",69
11,60,"=""Grayson County""",34,4,5,80,"=""KY""",71
6,48,"=""Green County""",38,2,4,91,"=""KY""",54
13,95,"=""Greenup County""",34,2,2,93,"=""KY""",108
NA,57,"=""Hancock County""",16,NA,3,91,"=""KY""",56
18,71,"=""Hardin County""",33,2,40,80,"=""KY""",89
8,55,"=""Harlan County""",25,1,7,96,"=""KY""",63
6,98,"=""Harrison County""",40,2,8,85,"=""KY""",104
5,65,"=""Hart County""",26,0,20,94,"=""KY""",70
13,82,"=""Henderson County""",39,3,30,79,"=""KY""",95
27,72,"=""Henry County""",33,1,8,87,"=""KY""",99
NA,66,"=""Hickman County""",24,NA,31,93,"=""KY""",65
5,71,"=""Hopkins County""",28,1,29,77,"=""KY""",76
53,50,"=""Jackson County""",37,NA,1,90,"=""KY""",103
25,108,"=""Jefferson County""",31,2,74,90,"=""KY""",133
25,88,"=""Jessamine County""",26,2,29,71,"=""KY""",113
17,72,"=""Johnson County""",32,2,0,93,"=""KY""",89
5,76,"=""Kenton County""",38,2,30,80,"=""KY""",81
7,70,"=""Knott County""",20,1,0,85,"=""KY""",77
3,64,"=""Knox County""",38,2,3,95,"=""KY""",67
4,70,"=""Larue County""",30,0,11,92,"=""KY""",74
6,74,"=""Laurel County""",40,3,3,92,"=""KY""",80
11,80,"=""Lawrence County""",33,2,2,83,"=""KY""",91
14,62,"=""Lee County""",36,2,1,87,"=""KY""",76
NA,101,"=""Leslie County""",39,NA,0,81,"=""KY""",100
9,68,"=""Letcher County""",32,1,2,90,"=""KY""",77
6,56,"=""Lewis County""",29,3,3,81,"=""KY""",62
16,63,"=""Lincoln County""",24,1,7,90,"=""KY""",79
NA,NA,"=""Livingston County""",NA,NA,NA,NA,"=""KY""",-8
4,98,"=""Logan County""",40,3,37,92,"=""KY""",102
8,77,"=""Lyon County""",43,4,12,97,"=""KY""",85
12,85,"=""McCracken County""",35,2,45,81,"=""KY""",97
35,83,"=""McCreary County""",42,3,0,89,"=""KY""",118
NA,71,"=""McLean County""",45,2,2,90,"=""KY""",70
6,75,"=""Madison County""",32,1,16,94,"=""KY""",81
12,100,"=""Magoffin County""",35,1,1,84,"=""KY""",112
12,83,"=""Marion County""",34,1,29,91,"=""KY""",95
7,57,"=""Marshall County""",41,2,2,87,"=""KY""",64
1,55,"=""Martin County""",21,1,0,93,"=""KY""",56
5,70,"=""Mason County""",33,1,23,91,"=""KY""",75
33,83,"=""Meade County""",32,NA,8,82,"=""KY""",116
NA,63,"=""Menifee County""",19,NA,3,91,"=""KY""",62
81,101,"=""Mercer County""",37,2,17,91,"=""KY""",182
NA,58,"=""Metcalfe County""",26,1,6,91,"=""KY""",57
3,70,"=""Monroe County""",28,NA,12,92,"=""KY""",73
5,72,"=""Montgomery County""",40,2,9,88,"=""KY""",77
NA,68,"=""Morgan County""",30,5,2,88,"=""KY""",67
10,92,"=""Muhlenberg County""",43,2,15,91,"=""KY""",102
13,79,"=""Nelson County""",44,4,19,78,"=""KY""",92
NA,61,"=""Nicholas County""",39,4,3,88,"=""KY""",60
7,72,"=""Ohio County""",25,NA,6,91,"=""KY""",79
18,76,"=""Oldham County""",42,3,18,75,"=""KY""",94
3,82,"=""Owen County""",23,NA,5,78,"=""KY""",85
2,76,"=""Owsley County""",53,3,1,89,"=""KY""",78
4,66,"=""Pendleton County""",39,2,0,89,"=""KY""",70
4,76,"=""Perry County""",32,1,8,90,"=""KY""",80
3,60,"=""Pike County""",26,1,2,85,"=""KY""",63
3,82,"=""Powell County""",41,1,1,91,"=""KY""",85
25,72,"=""Pulaski County""",36,1,5,80,"=""KY""",97
1,53,"=""Rockcastle County""",23,1,2,92,"=""KY""",54
9,81,"=""Rowan County""",36,1,5,92,"=""KY""",90
4,75,"=""Russell County""",28,1,5,88,"=""KY""",79
12,84,"=""Scott County""",29,1,28,92,"=""KY""",96
12,77,"=""Shelby County""",38,2,35,84,"=""KY""",89
9,64,"=""Simpson County""",29,3,27,89,"=""KY""",73
16,68,"=""Spencer County""",68,5,7,86,"=""KY""",84
34,70,"=""Taylor County""",27,2,16,88,"=""KY""",104
6,76,"=""Todd County""",29,NA,46,91,"=""KY""",82
6,61,"=""Trigg County""",28,NA,35,86,"=""KY""",67
NA,83,"=""Trimble County""",37,NA,5,89,"=""KY""",82
5,63,"=""Union County""",40,3,27,83,"=""KY""",68
11,76,"=""Warren County""",35,1,45,89,"=""KY""",87
21,72,"=""Washington County""",25,NA,40,98,"=""KY""",93
53,67,"=""Wayne County""",37,0,9,84,"=""KY""",120
18,70,"=""Webster County""",24,1,14,90,"=""KY""",88
5,65,"=""Whitley County""",24,1,3,95,"=""KY""",70
29,46,"=""Wolfe County""",33,2,1,78,"=""KY""",75
9,79,"=""Woodford County""",36,2,30,79,"=""KY""",88
17,81,"=""Acadia Parish""",36,2,63,91,"=""LA""",98
4,64,"=""Allen Parish""",33,3,53,67,"=""LA""",68
12,93,"=""Ascension Parish""",23,1,95,83,"=""LA""",105
14,94,"=""Assumption Parish""",28,2,94,67,"=""LA""",108
12,71,"=""Avoyelles Parish""",25,1,85,89,"=""LA""",83
6,65,"=""Beauregard Parish""",27,1,58,86,"=""LA""",71
7,98,"=""Bienville Parish""",30,1,95,90,"=""LA""",105
19,87,"=""Bossier Parish""",29,1,84,94,"=""LA""",106
28,84,"=""Caddo Parish""",31,2,91,72,"=""LA""",112
28,69,"=""Calcasieu Parish""",34,2,74,55,"=""LA""",97
4,63,"=""Caldwell Parish""",30,1,22,82,"=""LA""",67
NA,NA,"=""Cameron Parish""",NA,NA,NA,NA,"=""LA""",-8
12,86,"=""Catahoula Parish""",21,2,95,83,"=""LA""",98
6,84,"=""Claiborne Parish""",31,1,95,93,"=""LA""",90
13,61,"=""Concordia Parish""",30,1,95,80,"=""LA""",74
17,85,"=""De Soto Parish""",22,1,95,86,"=""LA""",102
43,105,"=""East Baton Rouge Parish""",33,1,94,84,"=""LA""",148
6,98,"=""East Carroll Parish""",27,1,98,87,"=""LA""",104
10,81,"=""Evangeline Parish""",37,2,71,93,"=""LA""",91
6,76,"=""Franklin Parish""",20,0,80,94,"=""LA""",82
65,76,"=""Grant Parish""",27,1,60,74,"=""LA""",141
16,80,"=""Iberia Parish""",29,2,82,78,"=""LA""",96
8,100,"=""Iberville Parish""",17,1,95,84,"=""LA""",108
15,81,"=""Jackson Parish""",27,1,81,92,"=""LA""",96
426,109,"=""Jefferson Parish""",34,2,86,77,"=""LA""",535
18,80,"=""Jefferson Davis Parish""",47,4,59,90,"=""LA""",98
14,87,"=""Lafayette Parish""",31,1,75,82,"=""LA""",101
8,77,"=""Lafourche Parish""",29,1,78,83,"=""LA""",85
28,74,"=""LaSalle Parish""",34,1,40,98,"=""LA""",102
5,69,"=""Lincoln Parish""",30,1,87,79,"=""LA""",74
17,63,"=""Livingston Parish""",53,3,49,70,"=""LA""",80
62,73,"=""Madison Parish""",17,NA,100,79,"=""LA""",135
14,63,"=""Morehouse Parish""",29,1,89,88,"=""LA""",77
3,72,"=""Natchitoches Parish""",28,2,90,79,"=""LA""",75
39,110,"=""Orleans Parish""",32,1,97,96,"=""LA""",149
21,79,"=""Ouachita Parish""",28,2,88,94,"=""LA""",100
NA,NA,"=""Plaquemines Parish""",NA,NA,NA,NA,"=""LA""",-10
9,104,"=""Pointe Coupee Parish""",48,1,88,95,"=""LA""",113
25,66,"=""Rapides Parish""",30,1,80,79,"=""LA""",91
205,88,"=""Red River Parish""",16,1,92,96,"=""LA""",293
21,97,"=""Richland Parish""",25,0,94,90,"=""LA""",118
5,66,"=""Sabine Parish""",16,0,69,95,"=""LA""",71
44,126,"=""St. Bernard Parish""",42,3,72,83,"=""LA""",170
42,106,"=""St. Charles Parish""",22,1,94,56,"=""LA""",148
2,58,"=""St. Helena Parish""",11,NA,94,72,"=""LA""",60
23,104,"=""St. James Parish""",28,1,98,72,"=""LA""",127
40,83,"=""St. John the Baptist Parish""",61,4,75,79,"=""LA""",123
11,89,"=""St. Landry Parish""",30,2,86,82,"=""LA""",100
6,71,"=""St. Martin Parish""",31,2,81,83,"=""LA""",77
4,86,"=""St. Mary Parish""",31,1,73,81,"=""LA""",90
15,92,"=""St. Tammany Parish""",51,5,64,77,"=""LA""",107
11,88,"=""Tangipahoa Parish""",30,1,90,82,"=""LA""",99
7,49,"=""Tensas Parish""",21,NA,93,64,"=""LA""",56
16,60,"=""Terrebonne Parish""",34,1,77,65,"=""LA""",76
18,78,"=""Union Parish""",15,NA,92,83,"=""LA""",96
28,84,"=""Vermilion Parish""",33,1,50,91,"=""LA""",112
13,54,"=""Vernon Parish""",31,2,45,86,"=""LA""",67
19,57,"=""Washington Parish""",23,0,86,90,"=""LA""",76
17,77,"=""Webster Parish""",32,2,85,85,"=""LA""",94
31,119,"=""West Baton Rouge Parish""",24,NA,96,58,"=""LA""",150
2,69,"=""West Carroll Parish""",55,5,28,89,"=""LA""",71
NA,148,"=""West Feliciana Parish""",37,3,100,92,"=""LA""",147
5,45,"=""Winn Parish""",21,1,88,85,"=""LA""",50
21,86,"=""Androscoggin County""",38,4,19,84,"=""ME""",107
13,86,"=""Aroostook County""",40,4,5,83,"=""ME""",99
34,101,"=""Cumberland County""",47,4,18,87,"=""ME""",135
14,97,"=""Franklin County""",53,7,4,89,"=""ME""",111
9,89,"=""Hancock County""",57,5,3,87,"=""ME""",98
34,99,"=""Kennebec County""",50,6,5,85,"=""ME""",133
14,92,"=""Knox County""",61,6,2,87,"=""ME""",106
29,95,"=""Lincoln County""",53,4,4,86,"=""ME""",124
48,104,"=""Oxford County""",37,3,5,86,"=""ME""",152
24,94,"=""Penobscot County""",43,4,6,93,"=""ME""",118
1,89,"=""Piscataquis County""",53,10,3,91,"=""ME""",90
43,86,"=""Sagadahoc County""",43,4,5,84,"=""ME""",129
28,103,"=""Somerset County""",37,3,3,84,"=""ME""",131
34,90,"=""Waldo County""",53,4,4,85,"=""ME""",124
NA,98,"=""Washington County""",47,3,5,93,"=""ME""",97
21,98,"=""York County""",50,5,6,89,"=""ME""",119
19,94,"=""Allegany County""",42,5,11,89,"=""MD""",113
28,112,"=""Anne Arundel County""",34,3,76,83,"=""MD""",140
44,112,"=""Baltimore County""",39,5,77,87,"=""MD""",156
69,105,"=""Calvert County""",52,7,55,89,"=""MD""",174
31,110,"=""Caroline County""",35,3,72,85,"=""MD""",141
19,88,"=""Carroll County""",51,5,17,86,"=""MD""",107
25,79,"=""Cecil County""",42,3,40,89,"=""MD""",104
19,115,"=""Charles County""",33,1,86,82,"=""MD""",134
22,93,"=""Dorchester County""",24,2,88,87,"=""MD""",115
47,107,"=""Frederick County""",34,2,56,89,"=""MD""",154
36,87,"=""Garrett County""",37,3,6,88,"=""MD""",123
59,96,"=""Harford County""",39,4,58,84,"=""MD""",155
83,132,"=""Howard County""",29,5,84,83,"=""MD""",215
27,79,"=""Kent County""",41,1,61,89,"=""MD""",106
57,122,"=""Montgomery County""",46,8,81,93,"=""MD""",179
56,146,"=""Prince George's County""",39,3,94,93,"=""MD""",202
18,97,"=""Queen Anne's County""",44,4,62,91,"=""MD""",115
47,114,"=""St. Mary's County""",36,2,63,75,"=""MD""",161
18,91,"=""Somerset County""",30,3,74,88,"=""MD""",109
39,115,"=""Talbot County""",39,4,66,65,"=""MD""",154
16,85,"=""Washington County""",36,3,38,89,"=""MD""",101
21,96,"=""Wicomico County""",34,3,78,77,"=""MD""",117
25,94,"=""Worcester County""",36,4,80,88,"=""MD""",119
16,118,"=""Baltimore city""",37,2,94,89,"=""MD""",134
29,121,"=""Barnstable County""",52,6,16,83,"=""MA""",150
11,245,"=""Berkshire County""",43,4,16,92,"=""MA""",256
42,123,"=""Bristol County""",43,4,39,93,"=""MA""",165
1,102,"=""Dukes County""",90,15,10,97,"=""MA""",103
70,207,"=""Essex County""",52,6,53,94,"=""MA""",277
36,123,"=""Franklin County""",42,2,17,91,"=""MA""",159
65,267,"=""Hampden County""",36,3,79,90,"=""MA""",332
34,281,"=""Hampshire County""",44,4,33,89,"=""MA""",315
43,164,"=""Middlesex County""",50,6,49,93,"=""MA""",207
NA,NA,"=""Nantucket County""",NA,NA,NA,NA,"=""MA""",-8
41,161,"=""Norfolk County""",47,6,47,92,"=""MA""",202
41,132,"=""Plymouth County""",45,4,44,94,"=""MA""",173
34,165,"=""Suffolk County""",45,6,79,93,"=""MA""",199
35,124,"=""Worcester County""",44,5,54,95,"=""MA""",159
7,56,"=""Alcona County""",21,NA,3,80,"=""MI""",63
42,76,"=""Alger County""",58,8,1,90,"=""MI""",118
24,79,"=""Allegan County""",35,2,26,93,"=""MI""",103
22,73,"=""Alpena County""",43,2,4,95,"=""MI""",95
38,69,"=""Antrim County""",80,3,2,95,"=""MI""",107
NA,70,"=""Arenac County""",31,3,0,89,"=""MI""",69
3,75,"=""Baraga County""",66,9,7,90,"=""MI""",78
29,92,"=""Barry County""",69,6,5,97,"=""MI""",121
21,82,"=""Bay County""",39,2,18,95,"=""MI""",103
65,84,"=""Benzie County""",39,1,3,90,"=""MI""",149
37,83,"=""Berrien County""",36,4,72,89,"=""MI""",120
33,74,"=""Branch County""",52,4,6,95,"=""MI""",107
29,76,"=""Calhoun County""",41,2,53,88,"=""MI""",105
31,77,"=""Cass County""",38,2,33,90,"=""MI""",108
23,67,"=""Charlevoix County""",61,10,3,96,"=""MI""",90
29,69,"=""Cheboygan County""",40,3,5,81,"=""MI""",98
58,72,"=""Chippewa County""",32,2,29,95,"=""MI""",130
8,70,"=""Clare County""",43,2,5,92,"=""MI""",78
20,85,"=""Clinton County""",25,2,20,92,"=""MI""",105
16,71,"=""Crawford County""",40,2,3,96,"=""MI""",87
31,88,"=""Delta County""",52,8,5,94,"=""MI""",119
59,76,"=""Dickinson County""",38,5,4,96,"=""MI""",135
12,89,"=""Eaton County""",46,3,37,92,"=""MI""",101
23,86,"=""Emmet County""",62,14,7,93,"=""MI""",109
43,89,"=""Genesee County""",34,2,73,86,"=""MI""",132
5,61,"=""Gladwin County""",43,4,2,93,"=""MI""",66
12,80,"=""Gogebic County""",44,6,3,97,"=""MI""",92
45,78,"=""Grand Traverse County""",42,3,9,90,"=""MI""",123
57,78,"=""Gratiot County""",39,3,8,90,"=""MI""",135
10,72,"=""Hillsdale County""",45,4,4,93,"=""MI""",82
19,81,"=""Houghton County""",53,7,2,95,"=""MI""",100
18,80,"=""Huron County""",36,2,2,96,"=""MI""",98
19,88,"=""Ingham County""",31,2,59,86,"=""MI""",107
24,76,"=""Ionia County""",42,3,6,88,"=""MI""",100
3,69,"=""Iosco County""",41,3,6,94,"=""MI""",72
40,53,"=""Iron County""",42,2,1,78,"=""MI""",93
30,88,"=""Isabella County""",36,2,13,93,"=""MI""",118
20,84,"=""Jackson County""",29,2,40,88,"=""MI""",104
18,87,"=""Kalamazoo County""",40,3,57,94,"=""MI""",105
89,69,"=""Kalkaska County""",76,10,2,92,"=""MI""",158
37,90,"=""Kent County""",34,2,65,91,"=""MI""",127
NA,NA,"=""Keweenaw County""",NA,NA,NA,NA,"=""MI""",-8
50,72,"=""Lake County""",44,2,42,89,"=""MI""",122
21,89,"=""Lapeer County""",38,3,10,92,"=""MI""",110
NA,76,"=""Leelanau County""",12,4,8,94,"=""MI""",75
28,88,"=""Lenawee County""",48,4,21,93,"=""MI""",116
33,96,"=""Livingston County""",40,1,10,93,"=""MI""",129
95,63,"=""Luce County""",48,3,1,60,"=""MI""",158
23,76,"=""Mackinac County""",50,NA,15,96,"=""MI""",99
32,101,"=""Macomb County""",49,3,52,90,"=""MI""",133
5,49,"=""Manistee County""",44,2,12,80,"=""MI""",54
35,75,"=""Marquette County""",40,4,7,92,"=""MI""",110
8,85,"=""Mason County""",66,9,7,94,"=""MI""",93
43,74,"=""Mecosta County""",37,3,10,92,"=""MI""",117
34,80,"=""Menominee County""",54,12,3,91,"=""MI""",114
21,83,"=""Midland County""",37,2,11,95,"=""MI""",104
35,102,"=""Missaukee County""",23,NA,8,93,"=""MI""",137
28,83,"=""Monroe County""",45,4,19,95,"=""MI""",111
19,75,"=""Montcalm County""",27,2,7,79,"=""MI""",94
NA,78,"=""Montmorency County""",42,3,5,94,"=""MI""",77
31,77,"=""Muskegon County""",46,3,55,94,"=""MI""",108
66,86,"=""Newaygo County""",47,5,10,92,"=""MI""",152
23,98,"=""Oakland County""",55,7,56,87,"=""MI""",121
65,63,"=""Oceana County""",31,NA,15,90,"=""MI""",128
36,79,"=""Ogemaw County""",48,6,3,93,"=""MI""",115
9,73,"=""Ontonagon County""",63,6,1,93,"=""MI""",82
12,62,"=""Osceola County""",41,4,3,87,"=""MI""",74
NA,81,"=""Oscoda County""",88,16,3,85,"=""MI""",80
21,69,"=""Otsego County""",57,2,4,92,"=""MI""",90
21,88,"=""Ottawa County""",53,5,34,94,"=""MI""",109
4,74,"=""Presque Isle County""",63,9,5,90,"=""MI""",78
26,79,"=""Roscommon County""",35,1,5,88,"=""MI""",105
20,88,"=""Saginaw County""",30,1,77,92,"=""MI""",108
19,88,"=""St. Clair County""",39,2,22,93,"=""MI""",107
14,76,"=""St. Joseph County""",33,2,19,92,"=""MI""",90
13,78,"=""Sanilac County""",47,7,4,92,"=""MI""",91
38,59,"=""Schoolcraft County""",46,3,5,78,"=""MI""",97
35,99,"=""Shiawassee County""",29,2,6,92,"=""MI""",134
12,78,"=""Tuscola County""",54,1,8,95,"=""MI""",90
37,82,"=""Van Buren County""",53,5,33,93,"=""MI""",119
23,104,"=""Washtenaw County""",37,4,63,88,"=""MI""",127
27,98,"=""Wayne County""",41,3,83,87,"=""MI""",125
11,85,"=""Wexford County""",45,5,4,95,"=""MI""",96
4,59,"=""Aitkin County""",45,6,7,96,"=""MN""",63
33,115,"=""Anoka County""",37,3,47,92,"=""MN""",148
23,68,"=""Becker County""",44,5,22,83,"=""MN""",91
5,60,"=""Beltrami County""",39,4,38,80,"=""MN""",65
25,73,"=""Benton County""",51,9,24,95,"=""MN""",98
3,70,"=""Big Stone County""",48,6,2,89,"=""MN""",73
34,79,"=""Blue Earth County""",28,3,34,83,"=""MN""",113
16,60,"=""Brown County""",45,6,6,83,"=""MN""",76
23,80,"=""Carlton County""",50,6,12,86,"=""MN""",103
16,84,"=""Carver County""",42,5,37,93,"=""MN""",100
24,72,"=""Cass County""",46,4,23,85,"=""MN""",96
7,61,"=""Chippewa County""",41,7,13,79,"=""MN""",68
125,75,"=""Chisago County""",63,8,5,93,"=""MN""",200
12,78,"=""Clay County""",31,3,28,80,"=""MN""",90
4,61,"=""Clearwater County""",61,20,12,80,"=""MN""",65
29,66,"=""Cook County""",85,8,8,92,"=""MN""",95
16,65,"=""Cottonwood County""",34,6,19,89,"=""MN""",81
21,82,"=""Crow Wing County""",42,2,7,92,"=""MN""",103
21,100,"=""Dakota County""",40,4,47,94,"=""MN""",121
5,62,"=""Dodge County""",48,6,8,87,"=""MN""",67
29,70,"=""Douglas County""",46,7,7,84,"=""MN""",99
18,70,"=""Faribault County""",44,5,10,78,"=""MN""",88
3,76,"=""Fillmore County""",75,11,6,84,"=""MN""",79
